X,Y,RowID,CrimeDateTime,CrimeCode,Location,Description,Inside_Outside,Weapon,Post,Gender,Age,Race,Ethnicity,District,Neighborhood,Latitude,Longitude,GeoLocation,Premise,VRIName,Total_Incidents
-76.6856999999999,39.3386,12340,2022/07/27 17:30:00+00,5A,4000 PENHURST AVE,BURGLARY,,,621,M,40,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,NORTHWEST,WEST ARLINGTON,39.3386,-76.6857,"(39.3386,-76.6857)",,,1
-76.6631,39.2955000000001,12369,2022/07/27 14:00:00+00,5A,2800 HARLEM AVE,BURGLARY,,,721,F,37,BLACK_OR_AFRICAN_AMERICAN,UNKNOWN,WESTERN,MOSHER,39.2955,-76.6631,"(39.2955,-76.6631)",,,1
-76.6002999999999,39.3198,12388,2022/07/27 14:00:00+00,5F,2500 KIRK AVE,BURGLARY,,,411,M,40,BLACK_OR_AFRICAN_AMERICAN,,NORTHEAST,COLDSTREAM HOMESTEAD MONTEBELLO,39.3198,-76.6003,"(39.3198,-76.6003)",,,1
-76.6727,39.3131000000001,12435,2022/07/27 10:00:00+00,5A,3300 ELGIN AVE,BURGLARY,,,811,M,46,BLACK_OR_AFRICAN_AMERICAN,UNKNOWN,SOUTHWEST,WALBROOK,39.3131,-76.6727,"(39.3131,-76.6727)",,,1
-76.6245,39.2976,12442,2022/07/27 17:00:00+00,5A,500 HALF MILE CT,BURGLARY,,,125,F,40,BLACK_OR_AFRICAN_AMERICAN,,CENTRAL,SETON HILL,39.2976,-76.6245,"(39.2976,-76.6245)",,,1
-76.6743999999999,39.3145000000001,12608,2022/07/26 14:00:00+00,5A,2400 DENISON ST,BURGLARY,,,624,,,,,NORTHWEST,HANLON-LONGWOOD,39.3145,-76.6744,"(39.3145,-76.6744)",,,1
-76.6677999999999,39.308,12609,2022/07/26 15:00:00+00,5A,3000 WESTWOOD AVE,BURGLARY,,,813,,,,,SOUTHWEST,NORTHWEST COMMUNITY ACTION,39.308,-76.6678,"(39.308,-76.6678)",,,1
-76.585,39.2845,12654,2022/07/26 17:30:00+00,5F,2200 ESSEX ST,BURGLARY,,,214,F,55,WHITE,NOT_HISPANIC_OR_LATINO,SOUTHEAST,CANTON,39.2845,-76.585,"(39.2845,-76.585)",,,1
-76.6145,39.3305,12659,2022/07/26 14:00:00+00,5A,200 E UNIVERSITY PKWY,BURGLARY,,,512,M,20,WHITE,UNKNOWN,NORTHERN,OAKENSHAWE,39.3305,-76.6145,"(39.3305,-76.6145)",,,1
-76.6145,39.3305,12663,2022/07/26 14:00:00+00,5A,200 E UNIVERSITY PKWY,BURGLARY,,,512,M,19,ASIAN,UNKNOWN,NORTHERN,OAKENSHAWE,39.3305,-76.6145,"(39.3305,-76.6145)",,,1
-76.6145,39.3305,12664,2022/07/26 14:00:00+00,5A,200 E UNIVERSITY PKWY,BURGLARY,,,512,M,21,BLACK_OR_AFRICAN_AMERICAN,UNKNOWN,NORTHERN,OAKENSHAWE,39.3305,-76.6145,"(39.3305,-76.6145)",,,1
-76.6145,39.3305,12665,2022/07/26 14:00:00+00,5A,200 E UNIVERSITY PKWY,BURGLARY,,,512,M,20,ASIAN,UNKNOWN,NORTHERN,OAKENSHAWE,39.3305,-76.6145,"(39.3305,-76.6145)",,,1
-76.6145,39.3305,12666,2022/07/26 14:00:00+00,5A,200 E UNIVERSITY PKWY,BURGLARY,,,512,M,19,ASIAN,UNKNOWN,NORTHERN,OAKENSHAWE,39.3305,-76.6145,"(39.3305,-76.6145)",,,1
-76.6145,39.3305,12667,2022/07/26 14:00:00+00,5A,200 E UNIVERSITY PKWY,BURGLARY,,,512,M,19,WHITE,UNKNOWN,NORTHERN,OAKENSHAWE,39.3305,-76.6145,"(39.3305,-76.6145)",,,1
-76.6369,39.3094,12738,2022/07/02 12:08:00+00,5A,400 GOLD ST,BURGLARY,,,131,M,52,BLACK_OR_AFRICAN_AMERICAN,,CENTRAL,DRUID HEIGHTS,39.3094,-76.6369,"(39.3094,-76.6369)",,,1
-76.6512,39.2825,12740,2022/07/02 13:40:00+00,5F,400 S SMALLWOOD ST,BURGLARY,,,834,F,74,BLACK_OR_AFRICAN_AMERICAN,UNKNOWN,SOUTHWEST,CARROLLTON RIDGE,39.2825,-76.6512,"(39.2825,-76.6512)",,Tri-District,1
-76.6557999999999,39.3101,12744,2022/07/02 04:00:00+00,5F,2400 ST STEPHENS CT,BURGLARY,,,731,F,21,BLACK_OR_AFRICAN_AMERICAN,,WESTERN,MONDAWMIN,39.3101,-76.6558,"(39.3101,-76.6558)",,,1
-76.6578,39.2821000000001,12758,2022/07/02 20:30:00+00,5F,300 MILLINGTON AVE,BURGLARY,,,835,M,58,ASIAN,UNKNOWN,SOUTHWEST,MILLHILL,39.2821,-76.6578,"(39.2821,-76.6578)",,,1
