"","d_sub2","plot","clip","avg_t_ht3","sd","n","se"
"129",11,"F2","PU",12.19,2.40416305603426,2,1.7
"130",11,"F5","CT",14.4722222222222,2.11070836801649,3,1.21861804445511
"131",11,"F5","PR",5.56333333333333,0.148688712864606,3,0.0858454683978394
"132",11,"F5","PU",14.6766666666667,2.56449475205806,3,1.4806117354361
"133",12,"CT","CT",14.45,2.19616142393951,3,1.26795438929535
"134",12,"CT","PR",6.975,1.5323592920722,3,0.884708049773106
"135",12,"CT","PU",11.725,0.917877987534292,3,0.529937103186155
"136",12,"F10","CT",15.45,2.3254031908467,3,1.34257215820976
"137",12,"F10","PR",6.63833333333333,1.56633595800305,3,0.904324486994451
"138",12,"F10","PU",16.6833333333333,0.737535309889183,3,0.425816209701374
"139",12,"F2","CT",15.6375,2.74003877709787,2,1.9375
"140",12,"F2","PR",6.13,0.784888527117067,2,0.555
"141",12,"F2","PU",12.3625,1.57331258814007,2,1.1125
"142",12,"F5","CT",15,2.04771213797252,3,1.1822471540813
"143",12,"F5","PR",7.125,0.0249999999999999,3,0.0144337567297406
"144",12,"F5","PU",14.625,2.02962434947948,3,1.1718041645258
"145",13,"CT","CT",14.275,1.74839211849059,3,1.00943466025956
"146",13,"CT","PR",7.2,1.67275969583201,3,0.965768260678168
"147",13,"CT","PU",11.4666666666667,1.40542105197458,3,0.811420222682291
"148",13,"F10","CT",14.2,1.94871752699051,3,1.12509258878251
"149",13,"F10","PR",7.75833333333333,1.31109051302087,3,0.756958460624565
"150",13,"F10","PU",15.9583333333333,0.543330777090101,3,0.313692170411978
"151",13,"F2","CT",14.8875,1.53795724908074,2,1.0875
"152",13,"F2","PR",6.4125,0.936916485072176,2,0.6625
"153",13,"F2","PU",11.425,0.848528137423857,2,0.6
"154",13,"F5","CT",12.75,1.75374599072956,3,1.01252571983794
"155",13,"F5","PR",7.24166666666667,0.478495907331853,3,0.27625974090418
"156",13,"F5","PU",14.4,0.999062060134405,3,0.576808749355741
